Name,Age,Gender,Phone,EmailID,City,Location,Grade_10,Grade_12,JEE,CUET,Stream
Aditya Brown,18,Female,918876380207,adityabrown@gmail.com,London,Urban,57.55,79.68,236.25,472.16,B.Tech Civil
Vivaan Miller,17,Female,914094517790,vivaanmiller@gmail.com,Delhi,Rural,87.96,77.22531926406927,217.04,626.55,B.Tech ECE
Vihaan Brown,20,Male,916159282249,vihaanbrown@gmail.com,Sydney,Urban,77.56548998375746,68.87,188.21,567.09,B.Tech Civil
Aarav Khan,19,Female,918437700627,aaravkhan@gmail.com,Dubai,Rural,96.63,77.22531926406927,100.0,100.0,BCA
Krishna Wilson,20,Male,916453454722,krishnawilson@gmail.com,Hyderabad,Semi-Urban,82.25,79.96,,738.36,B.Tech CS
Vihaan Singh,17,Male,916572997665,vihaansingh@gmail.com,London,Urban,97.46,88.67,275.34,727.2,B.Tech CS
Arjun Miller,20,Female,910549114065,arjunmiller@gmail.com,Ahmedabad,Rural,69.84,54.78,136.3,798.87,B.Tech Mechanical
Sai Patel,20,Male,911523029996,saipatel@gmail.com,London,Urban,60.95,97.97,264.5,466.05,B.Tech Mechanical
Vivaan Verma,20,Female,918548709986,vivaanverma@gmail.com,Delhi,Rural,77.56548998375746,89.33,100.0,100.0,BCA
Shaurya Patel,20,Male,913184322259,shauryapatel@gmail.com,Delhi,Semi-Urban,61.52,90.56,244.05,592.61,B.Tech ECE
Krishna Brown,17,Male,916698027644,krishnabrown@gmail.com,Sydney,Urban,82.07,88.51,292.48,,B.Tech CS
Vivaan Taylor,17,Male,916864986478,vivaantaylor@gmail.com,London,Semi-Urban,83.72,,192.72,,B.Tech CS
Aditya Verma,19,Female,911690476102,adityaverma@gmail.com,Dubai,Rural,83.1,82.42,297.53,505.42,B.Tech ECE
Shaurya Verma,19,Male,912405792682,shauryaverma@gmail.com,Toronto,Rural,54.37,77.22531926406927,241.29,745.97,B.Tech CS
Sai Johnson,20,Male,913930493665,saijohnson@gmail.com,Hyderabad,Semi-Urban,,58.94,230.13,,B.Tech Mechanical
Atharv Verma,17,Male,917465506530,atharvverma@gmail.com,Bengaluru,Semi-Urban,97.3,50.34,184.71,699.59,B.Tech Mechanical
Aditya Taylor,18,Female,917711964215,adityataylor@gmail.com,Bengaluru,Urban,88.38,67.63,198.84,592.52,B.Tech Mechanical
Shaurya Taylor,18,Female,919940847727,shauryataylor@gmail.com,Dubai,,74.71000000000001,63.21,100.0,100.0,BCA
Aarav Singh,19,Female,918443762825,aaravsingh@gmail.com,Sydney,Rural,77.94,77.22531926406927,,,B.Tech ECE
Vihaan Miller,17,Male,914242406628,vihaanmiller@gmail.com,Hyderabad,Rural,70.51,60.08,159.98,606.96,B.Tech Civil
Arjun Wilson,17,Male,911719786016,arjunwilson@gmail.com,Bengaluru,Rural,84.19,80.84,250.25,420.37,B.Tech Civil
Sai Patel,19,Male,915676787905,saipatel@gmail.com,Delhi,Rural,77.56548998375746,99.84,219.23,437.48,B.Tech Civil
Atharv Patel,18,Female,914376366287,atharvpatel@gmail.com,Delhi,Urban,73.07,55.79,261.53,548.37,B.Tech Mechanical
Aditya Patel,18,Male,912837213027,adityapatel@gmail.com,Bengaluru,Urban,65.05,77.22531926406927,101.87,409.93,BCA
Atharv Wilson,18,Female,911350540764,atharvwilson@gmail.com,Toronto,Urban,82.49,91.81,176.92,451.96,B.Sc Data Science
Vivaan Verma,17,Female,915969554917,vivaanverma@gmail.com,New York,Rural,77.56548998375746,63.09,249.84,573.22,B.Tech Mechanical
Shaurya Taylor,20,Male,915728703203,shauryataylor@gmail.com,Bengaluru,Urban,73.51,58.18,193.43,446.41,B.Sc Data Science
Ishaan Verma,20,Male,912798059503,ishaanverma@gmail.com,Delhi,Urban,50.49,69.63,291.48,648.82,B.Tech ECE
Shaurya Wilson,19,Female,910364882159,shauryawilson@gmail.com,Toronto,Rural,62.44,68.47,287.81,560.03,B.Tech ECE
Shaurya Johnson,20,Male,917152386767,shauryajohnson@gmail.com,Hyderabad,Semi-Urban,,82.84,105.24,,B.Tech Civil
William Wilson,17,Female,617364933546,williamwilson@gmail.com,New York,Semi-Urban,77.56548998375746,73.75,,,B.Tech ECE
Sai Johnson,18,Female,914302997385,saijohnson@gmail.com,Ahmedabad,Rural,93.64,58.84,156.06,462.33,B.Sc Data Science
Ishaan Miller,17,Female,910404333353,ishaanmiller@gmail.com,Sydney,Rural,79.36,94.17,124.44,,B.Tech Mechanical
Atharv Johnson,18,Female,917781070824,atharvjohnson@gmail.com,Mumbai,Semi-Urban,80.48,61.15,171.7,686.34,B.Tech Mechanical
Vivaan Wilson,17,Female,913033793375,vivaanwilson@gmail.com,London,Urban,70.02,91.3,101.35,403.96,B.Sc IT
Vivaan Khan,19,Female,913235494012,vivaankhan@gmail.com,Sydney,Semi-Urban,81.11,86.95,270.51,675.17,B.Tech CS
Vivaan Khan,18,Female,913326408194,vivaankhan@gmail.com,Ahmedabad,Rural,,98.09,253.59,,B.Tech Mechanical
Aditya Johnson,20,Male,916106567337,adityajohnson@gmail.com,Ahmedabad,Rural,72.2,52.16,179.81,457.56,B.Sc Data Science
Krishna Wilson,17,Male,915858240497,krishnawilson@gmail.com,Toronto,Semi-Urban,84.21,98.75,164.46,593.67,B.Tech Mechanical
Aarav Khan,20,Female,911475488061,aaravkhan@gmail.com,Toronto,Urban,77.56548998375746,86.84,256.8,649.84,B.Tech CS
Vivaan Miller,20,Female,919807935978,vivaanmiller@gmail.com,Bengaluru,Urban,72.53,90.55,267.48,792.95,B.Tech CS
Aarav Taylor,18,Female,918082300679,aaravtaylor@gmail.com,London,Urban,77.56548998375746,66.52,167.31,553.03,B.Tech Civil
Atharv Khan,20,Female,913207625731,atharvkhan@gmail.com,London,Urban,77.56548998375746,78.14,239.12,760.67,B.Tech CS
Krishna Miller,17,Female,914897881412,krishnamiller@gmail.com,Ahmedabad,Rural,91.62,89.75,250.45,588.93,B.Tech ECE
Aarav Verma,19,Male,919335984742,aaravverma@gmail.com,Bengaluru,Semi-Urban,76.94,62.12,258.79,704.66,B.Tech CS
Vivaan Brown,20,Male,913822224005,vivaanbrown@gmail.com,Hyderabad,Semi-Urban,67.52000000000001,95.24,100.0,100.0,BCA
Aditya Singh,19,Female,916729299072,adityasingh@gmail.com,Bengaluru,Semi-Urban,71.0,80.79,108.73,666.48,B.Tech Civil
Aarav Johnson,18,Male,913856980284,aaravjohnson@gmail.com,Ahmedabad,Urban,100.0,74.68,182.34701123021952,100.0,BCA
Vivaan Patel,17,Female,913175529776,vivaanpatel@gmail.com,Mumbai,Urban,63.01,75.67,100.97,,B.Sc IT
Vivaan Brown,19,Female,911300932206,vivaanbrown@gmail.com,Ahmedabad,Rural,58.9,71.0,185.64,468.79,B.Sc Data Science
Atharv Miller,19,Male,913694811266,atharvmiller@gmail.com,Ahmedabad,Semi-Urban,89.01,77.22531926406927,100.0,100.0,BCA
Aarav Johnson,20,Male,910021027366,aaravjohnson@gmail.com,Hyderabad,Semi-Urban,87.15,,247.17,662.72,B.Tech ECE
Arjun Johnson,18,Female,915199550897,arjunjohnson@gmail.com,Toronto,Rural,96.1,63.19,127.26,617.5,B.Tech Civil
Aarav Miller,20,Male,912316433481,aaravmiller@gmail.com,Toronto,Urban,,,165.35,763.92,B.Tech Mechanical
Ishaan Brown,19,Female,916664760852,ishaanbrown@gmail.com,Mumbai,Semi-Urban,83.56,96.42,269.97,455.87,B.Tech Mechanical
Sai Patel,19,Female,919040983665,saipatel@gmail.com,New York,Semi-Urban,96.7,,232.75,636.31,B.Tech ECE
Vihaan Brown,19,Male,913386136746,vihaanbrown@gmail.com,Delhi,Rural,55.02,91.3,163.74,496.4,B.Sc Data Science
Aarav Khan,17,Female,915333153779,aaravkhan@gmail.com,New York,Semi-Urban,77.56548998375746,86.78,100.0,100.0,BCA
Vivaan Miller,17,Female,916574396770,vivaanmiller@gmail.com,New York,Rural,69.55,72.53,220.21,430.36,B.Sc Data Science
Arjun Khan,20,Female,914566309066,arjunkhan@gmail.com,Dubai,Rural,77.47,96.6,157.38,644.77,B.Tech Mechanical
Arjun Sharma,17,Female,914680131433,arjunsharma@gmail.com,London,Urban,95.79,74.68,139.21,440.94,B.Sc Data Science
Aarav Johnson,18,Male,914491306108,aaravjohnson@gmail.com,New York,Rural,82.82,,155.88,631.51,B.Tech Civil
Ishaan Singh,18,Male,919195800084,ishaansingh@gmail.com,Delhi,Rural,69.08,85.86,100.0,100.0,BCA
Krishna Singh,18,Female,910882570445,krishnasingh@gmail.com,New York,Rural,74.19,78.28999999999999,100.0,100.0,BCA
Krishna Patel,17,Female,914151980702,krishnapatel@gmail.com,Toronto,Semi-Urban,56.7,83.16,266.36,677.81,B.Tech CS
Shaurya Singh,19,Male,916659184638,shauryasingh@gmail.com,London,Rural,90.86,67.25,258.53,754.87,B.Tech CS
Atharv Brown,18,Female,916223683127,atharvbrown@gmail.com,New York,Urban,95.29,56.14,141.17,695.81,B.Tech Mechanical
Krishna Johnson,18,Male,919484002730,krishnajohnson@gmail.com,Mumbai,Semi-Urban,92.61,71.71,178.13,754.09,B.Tech ECE
Krishna Wilson,20,Female,917491348169,krishnawilson@gmail.com,Ahmedabad,Urban,60.63,65.09,128.36,444.24,B.Sc IT
Vivaan Johnson,19,Male,916571417874,vivaanjohnson@gmail.com,Delhi,Urban,66.35,70.57,275.94,564.63,B.Tech ECE
Aarav Khan,20,Male,918614639102,aaravkhan@gmail.com,Toronto,Semi-Urban,,60.86,259.23,,B.Tech Mechanical
Aarav Verma,17,Female,911591497501,aaravverma@gmail.com,Dubai,Semi-Urban,75.54,85.85,240.31,606.51,B.Tech ECE
Aditya Brown,19,Male,913052411420,adityabrown@gmail.com,Toronto,Rural,,54.76,261.31,486.4,B.Tech Civil
Aditya Singh,19,Female,910975861393,adityasingh@gmail.com,Ahmedabad,Semi-Urban,83.24,77.22531926406927,278.01,795.26,B.Tech CS
Vivaan Singh,18,Female,914211175494,vivaansingh@gmail.com,Ahmedabad,Semi-Urban,66.62,82.08,133.34,725.18,B.Tech Mechanical
Sai Verma,18,Male,915570836821,saiverma@gmail.com,Ahmedabad,Rural,77.56548998375746,90.99,100.0,100.0,BCA
Shaurya Sharma,19,Female,910092319507,shauryasharma@gmail.com,Sydney,Rural,62.15,94.03,168.45,475.58,B.Sc Data Science
Sai Brown,17,Male,912935117486,saibrown@gmail.com,Hyderabad,Rural,77.56548998375746,100.0,100.0,100.0,BCA
Sai Khan,18,Female,913597598096,saikhan@gmail.com,Bengaluru,Semi-Urban,59.3,85.2,218.88,766.49,B.Tech CS
Vivaan Patel,17,Male,914023420338,vivaanpatel@gmail.com,Toronto,Semi-Urban,60.54,65.09,283.87,737.38,B.Tech CS
Vivaan Sharma,18,Female,915838796334,vivaansharma@gmail.com,London,Rural,64.06,71.35,238.33,799.12,B.Tech CS
Vivaan Johnson,20,Male,916001365103,vivaanjohnson@gmail.com,Ahmedabad,Rural,65.15,98.45,126.31,638.12,B.Tech Mechanical
Sai Patel,17,Male,916172827026,saipatel@gmail.com,New York,Semi-Urban,77.56548998375746,72.0,198.33,562.32,B.Tech Mechanical
Aarav Khan,17,Female,917997065811,aaravkhan@gmail.com,Bengaluru,Rural,,66.92,182.34701123021952,100.0,BCA
Matthew Singh,19,Male,367107923595,matthewsingh@gmail.com,Mumbai,Rural,77.56548998375746,,230.94,548.67,B.Tech Mechanical
Aditya Wilson,20,Female,911273421120,adityawilson@gmail.com,Bengaluru,Semi-Urban,68.32,100.0,182.34701123021952,100.0,BCA
Vihaan Patel,19,Male,910110288314,vihaanpatel@gmail.com,Dubai,,99.66,74.49000000000001,100.0,100.0,BCA
Atharv Verma,19,Male,915754157961,atharvverma@gmail.com,Sydney,Urban,61.55,77.22531926406927,209.44,423.9,B.Sc Data Science
Vihaan Sharma,20,Male,915647837031,vihaansharma@gmail.com,Toronto,Rural,65.34,61.41,103.19,474.28,B.Sc IT
Aarav Johnson,20,Female,916581539362,aaravjohnson@gmail.com,Bengaluru,Urban,88.53,96.77,295.16,553.99,B.Tech CS
Aarav Verma,17,Female,911591497501,aaravverma@gmail.com,Dubai,Semi-Urban,75.54,85.85,240.31,606.51,B.Tech ECE
Aditya Singh,17,Male,910259375818,adityasingh@gmail.com,Hyderabad,Rural,51.92,52.26,,589.18,B.Sc Data Science
Arjun Patel,18,Male,919124186210,arjunpatel@gmail.com,Ahmedabad,Urban,72.03,58.9,242.88,757.08,B.Tech CS
Arjun Sharma,17,Male,917882247312,arjunsharma@gmail.com,London,Urban,69.47,96.7,284.84,717.94,B.Tech CS
Vivaan Wilson,20,Female,916600220036,vivaanwilson@gmail.com,Ahmedabad,Urban,79.86,70.34,100.0,100.0,BCA
Krishna Patel,17,Male,918671632346,krishnapatel@gmail.com,Toronto,Urban,80.19,96.96,217.5,600.99,B.Tech ECE
Atharv Verma,20,Male,914731498643,atharvverma@gmail.com,Mumbai,Semi-Urban,77.56548998375746,69.36,100.0,100.0,BCA
Aditya Taylor,19,Male,919393272728,adityataylor@gmail.com,Delhi,Urban,94.74,55.89,177.52,539.22,B.Tech Civil
Sai Taylor,19,Male,917129969915,saitaylor@gmail.com,Ahmedabad,Semi-Urban,77.45,98.7,288.16,403.79,B.Tech Mechanical
Aditya Verma,20,Male,918288291454,adityaverma@gmail.com,New York,Rural,100.0,77.22531926406927,100.0,100.0,BCA
Shaurya Miller,17,Female,918706668843,shauryamiller@gmail.com,Hyderabad,Urban,71.68,51.62,,490.06,B.Sc Data Science
Sai Singh,20,Male,911891134348,saisingh@gmail.com,New York,Rural,53.43,60.72,253.43,649.37,B.Tech ECE
Atharv Singh,20,Male,915754523558,atharvsingh@gmail.com,Dubai,Rural,77.56548998375746,67.52,172.95,458.8,B.Sc Data Science
Vivaan Johnson,19,Male,915006030798,vivaanjohnson@gmail.com,London,Urban,100.0,77.22531926406927,,100.0,BCA
Krishna Brown,19,Male,911065411340,krishnabrown@gmail.com,Toronto,Semi-Urban,66.2,69.94,263.59,766.52,B.Tech CS
Sai Wilson,17,Female,912984754870,saiwilson@gmail.com,Mumbai,Semi-Urban,91.53,83.59,182.34701123021952,100.0,BCA
Sai Verma,20,Male,919465370923,saiverma@gmail.com,Sydney,Semi-Urban,73.55,90.5,264.4,721.58,B.Tech CS
Sai Miller,20,Male,915150267551,saimiller@gmail.com,Bengaluru,Rural,81.31,83.34,100.0,100.0,BCA
Aarav Johnson,19,Female,917800244323,aaravjohnson@gmail.com,London,Urban,58.11,91.21,178.14,415.22,B.Sc Data Science
Aditya Brown,18,Male,916724004991,adityabrown@gmail.com,New York,Rural,72.72,82.07,204.86,755.7,B.Tech CS
Vivaan Khan,19,Male,916210840157,vivaankhan@gmail.com,Dubai,Semi-Urban,74.82,82.58,178.94,683.64,B.Tech ECE
Atharv Wilson,19,Male,910014144246,atharvwilson@gmail.com,Mumbai,Semi-Urban,73.78,92.11,133.92,682.22,B.Tech Mechanical
